Compound_Id|Batch_No|Well_Id|Conc_uM|Rel_Cell_Count|Induction|Cluster_AKT_PI3K_MTOR|Cluster_Aurora|Cluster_BET|Cluster_DNA_Synthesis|Cluster_HDAC|Cluster_HSP90|Cluster_L/CH|Cluster_Protein_Synthesis|Cluster_Tubulin|Cluster_Uncoupling|Cluster_High|Cluster_Sim|Trivial_Name|Chiral|Smiles
105397|2|105397:02:03_10.00|10|98|11.4|81.6|0|0|62|0|25.3|15.8|0|0|32.9|AKT_PI3K_MTOR|81.6|AG-1478|False|COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
105397|2|105397:02:03_30.00|30|80|60.8|9.6|0|52.8|0|50.4|57.9|40.1|63.4|61.9|70.7|Uncoupler|70.7|AG-1478|False|COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
106934|1|106934:01:13_10.00|10|87|20.4|0|0|32.1|0|26.4|19.7|37.8|24.2|36.2|0.6|LCH|37.8|Dynarrestin|False|CCOC(=O)c1sc(Nc2ccc(F)cc2F)nc1-c1ccc(N(CC)CC)cc1
106934|1|106934:01:13_30.00|30|85|42.8|0|0|32|0|30.4|29.6|40.1|30.2|39.5|7.2|LCH|40.1|Dynarrestin|False|CCOC(=O)c1sc(Nc2ccc(F)cc2F)nc1-c1ccc(N(CC)CC)cc1
107987|2|107987:02:05_10.00|10|95|37|0|0|78.7|0|74.2|36.4|77.3|58.4|75.1|59.4|BET|78.7|Vatalanib|False|Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
107987|2|107987:02:05_30.00|30|79|75|0|0|78.2|0|78.6|51.9|72|64.8|85.1|64.1|Tubulin|85.1|Vatalanib|False|Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
108014|2|108014:02:03_30.00|30|76|55.4|0|2.7|72|0|72.5|38.2|64|72.1|83.9|55.1|Tubulin|83.9|Rutaecarpine|False|O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12
108034|2|108034:02:03_30.00|30|103|14.2|0|0|49.3|0|49.2|35.4|60.8|37.8|59.9|35.8|LCH|60.8||False|COc1ccc2[nH]c3c(c2c1)CCNC3
108066|2|108066:02:07_03.00|3|99|28.5|0|0|70.9|0|74.9|19.8|85.1|58.5|70.1|39.8|LCH|85.1|Metergoline|True|CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
108066|2|108066:02:04_10.00|10|99|57.2|0|0|80.7|0|78.6|3.9|94|49.3|69.1|49.5|LCH|94|Metergoline|True|CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
108099|2|108099:02:04_30.00|30|98|5.4|14.8|0|36.6|28.3|26.6|2.9|67.7|18.4|47|27.9|LCH|67.7|Nomifensine (maleate)|False|CN1Cc2c(N)cccc2C(c2ccccc2)C1
108102|2|108102:02:03_10.00|10|93|29.5|0|0|81.3|0|74.6|8.7|88.6|57.8|77.4|44.9|LCH|88.6|Trequinsin hydrochloride HL 725|False|COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2
108102|2|108102:02:03_30.00|30|106|46.3|0|0|63.6|0|63.9|32.5|75.7|43.3|65.8|48.4|LCH|75.7|Trequinsin hydrochloride HL 725|False|COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2
150900|10|150900:10:03_00.20|0.2|96|16.2|52.8|0|29.8|25.8|25.6|13.5|52.6|25.4|31.1|66.6|Uncoupler|66.6|Nicotinamide|False|NC(=O)c1cccnc1
150900|10|150900:10:03_02.00|2|87|57.9|0|0|81.1|0|77|12.1|80.1|71.7|77.3|71.2|BET|81.1|Nicotinamide|False|NC(=O)c1cccnc1
151729|2|151729:02:04_10.00|10|99|5.2|7|0|59.9|0|48.7|31.6|63|39.6|64.6|58.8|Tubulin|64.6|Dopamine hydrochloride|False|NCCc1ccc(O)c(O)c1
151729|2|151729:02:04_30.00|30|104|7.9|0|0|73|0|66|0|69.6|39.8|65.6|55.9|BET|73|Dopamine hydrochloride|False|NCCc1ccc(O)c(O)c1
156381|2|156381:02:02_10.00|10|96|5.5|46.7|0|0|66|0|7.7|0|0|10.1|23.3|DNA_Synth|66|Authipyrin|False|O=C(c1ccc2c(c1)OCCO2)C1CCN(c2ncnc3sccc23)CC1
245325|2|245325:02:04_10.00|10|97|51.3|0|0|74.2|0|75.8|36.5|84.1|50.6|67.9|55|LCH|84.1|Reserpine, Methyl reserpate|False|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
245325|2|245325:02:04_30.00|30|81|74.1|0|0|77.8|0|77.3|20.4|91.7|46.5|71.6|59|LCH|91.7|Reserpine, Methyl reserpate|False|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
245325|3|245325:03:08_01.00|1|106|8.1|0|0|33|0|28.4|34.5|47.3|20.6|39.6|5.6|LCH|47.3|Reserpine, Methyl reserpate|False|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
245325|3|245325:03:08_03.00|3|91|5.9|0|0|31.4|0|32.8|32.4|54.7|6.3|34.7|4.8|LCH|54.7|Reserpine, Methyl reserpate|False|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
245325|3|245325:03:03_10.00|10|87|42.7|0|0|70.6|0|72.3|38.5|88.1|45.9|65.9|49.2|LCH|88.1|Reserpine, Methyl reserpate|False|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
245325|3|245325:03:03_30.00|30|67|80.5|0|0|68.9|0|68.9|29.1|81.3|52.3|70.3|55.4|LCH|81.3|Reserpine, Methyl reserpate|False|COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
245345|3|245345:03:03_30.00|30|97|18.1|0|0|22.5|0|22.3|39.6|42.2|24.3|35.7|0|LCH|42.2|Praziquantel|False|O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
245350|1|245350:01:08_01.00|1|65|22.8|31.4|41.9|0|78.9|0|7.2|0|0|0|0|DNA_Synth|78.9|(S)-(+)-Camptothecin|False|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
245350|1|245350:01:08_03.00|3|61|39.2|52.1|8.8|0|86.5|0|6.6|0|0|0|0|DNA_Synth|86.5|(S)-(+)-Camptothecin|False|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
245350|2|245350:02:03_10.00|10|65|28.5|43.4|32.2|0|93|0|0|0|0|0|0|DNA_Synth|93|(S)-(+)-Camptothecin|False|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
245350|2|245350:02:03_30.00|30|55|39|48.7|18.4|0|87|0|11.8|0|0|0|0|DNA_Synth|87|(S)-(+)-Camptothecin|False|CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
245352|3|245352:03:14_03.00|3|90|51.5|0|0|82.1|0|76.6|11.1|59.3|77.9|83.1|47|Tubulin|83.1|Cantharidin|False|C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1
245354|3|245354:03:12_00.10|0.1|67|58.2|0|0|75.9|0|75.3|25.2|61.8|67.3|93.9|53.5|Tubulin|93.9|Nocodazole|False|COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
245354|3|245354:03:11_00.10|0.1|69|61.3|0|0|75.2|0|74.2|30.4|57.8|66.4|94|57.4|Tubulin|94|Nocodazole|False|COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
245357|2|245357:02:04_30.00|30|98|23.5|0|0|43|0|44.2|25.6|52.9|36.8|48.5|25.1|LCH|52.9|Benfluorex (hydrochloride)|False|CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1
245363|3|245363:03:14_00.03|0.03|80|23|0|30.1|19.2|0|43.7|57.9|11.9|32.8|38.4|13.3|HSP90|57.9|Colchicine|False|COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
245363|3|245363:03:14_00.10|0.1|51|55.8|0|13.9|51.6|0|63.9|48|50.6|60.7|60.7|48.9|HDAC|63.9|Colchicine|False|COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
245371|2|245371:02:05_10.00|10|93|18.1|3.8|9.2|0|31.5|0|29.2|5.5|3.9|8.3|0|DNA_Synth|31.5|Berberine (chloride hydrate)|False|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
245371|2|245371:02:05_30.00|30|91|25.4|0.9|5|3.8|12.6|0|23.8|21.4|12.7|17.2|0|HSP90|23.8|Berberine (chloride hydrate)|False|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
245371|2|245371:02:05_50.00|50|97|31.8|1.9|6.3|0|21.1|0|23|17.8|8.6|13.8|0|HSP90|23|Berberine (chloride hydrate)|False|COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
245372|1|245372:01:05_03.00|3|91|10.7|0|0|77.5|0|78.6|18.4|87|52.6|75.8|43|LCH|87|Perphenazine|False|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
245372|2|245372:02:04_10.00|10|102|54.4|0|0|84.6|0|83.3|14.2|93.4|56.9|74.8|56.3|LCH|93.4|Perphenazine|False|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
245372|3|245372:03:03_10.00|10|85|79.1|0|0|86.4|0|82.5|3.6|90.6|57.3|77|61.1|LCH|90.6|Perphenazine|False|OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
245373|2|245373:02:04_10.00|10|105|7.3|0|0|53.1|0.1|46.9|0|77.6|13.2|57.7|35.8|LCH|77.6|Oxybutynin Chloride|False|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
245373|2|245373:02:04_30.00|30|94|42.8|0|0|73.3|0|70.7|19.2|93.8|46.1|72.3|49.4|LCH|93.8|Oxybutynin Chloride|False|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
245373|3|245373:03:03_10.00|10|103|7.3|0|0|70.4|0|67.3|10|85.2|43.7|62.7|41.5|LCH|85.2|Oxybutynin Chloride|False|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
245373|3|245373:03:03_30.00|30|104|77.2|0|0|69.2|0|69.3|31.8|83.6|51.9|69.2|44.8|LCH|83.6|Oxybutynin Chloride|False|CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
245381|2|245381:02:04_10.00|10|107|6.2|0|0|60.7|0|55.6|10.6|72.7|38.4|59.6|40.4|LCH|72.7|Flunarizine dihydrochloride|False|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
245381|2|245381:02:04_30.00|30|100|40.1|0|0|63.8|0|55.9|1.2|89.3|29.6|55.5|33.8|LCH|89.3|Flunarizine dihydrochloride|False|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
245381|3|245381:03:03_10.00|10|99|15.9|0|0|35.3|0|31.5|23.1|59.1|21.3|39.1|0|LCH|59.1|Flunarizine dihydrochloride|False|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
245381|3|245381:03:03_30.00|30|100|51.5|0|0|57.6|0|55|23|73.7|38.8|57.7|31.4|LCH|73.7|Flunarizine dihydrochloride|False|Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1
245383|2|245383:02:04_30.00|30|102|16.8|0|0|75.1|0|72.7|4.2|93.3|44.9|70.2|46.9|LCH|93.3|Xylometazoline (hydrochloride)|False|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
245383|3|245383:03:03_10.00|10|103|5|0|0|46.6|0|48.9|0|57.2|0|26.1|25.8|LCH|57.2|Xylometazoline (hydrochloride)|False|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
245383|3|245383:03:03_30.00|30|102|15.2|0|0|67.4|0|61|0|88.9|22.7|55.1|26.8|LCH|88.9|Xylometazoline (hydrochloride)|False|Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
245384|2|245384:02:09_03.00|3|86|15.4|24.7|45.2|0|82.3|0|2.7|0|0|0|0|DNA_Synth|82.3|Hycanthone|False|CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12
245384|2|245384:02:04_10.00|10|66|56|0|12.7|33.3|33.6|37.1|3.5|72.5|1.3|41.1|13.2|LCH|72.5|Hycanthone|False|CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12
245386|2|245386:02:04_10.00|10|103|18|0|0|83.8|0|80.4|20.1|85.6|59.1|78.2|59.9|LCH|85.6|Clozapine|False|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
245386|2|245386:02:04_30.00|30|102|72.9|0|0|72.5|0|71.4|22.5|89.1|48.4|68.1|49.5|LCH|89.1|Clozapine|False|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
245386|3|245386:03:03_10.00|10|110|7.8|0|0|75.5|0|69.6|5.9|79.2|33.3|64.9|51.7|LCH|79.2|Clozapine|False|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
245386|3|245386:03:03_30.00|30|93|66|0|0|76.7|0|76.5|28.4|92.4|51.7|71.7|48.3|LCH|92.4|Clozapine|False|CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
245387|2|245387:02:04_30.00|30|104|15.9|6.2|12.5|0|17.1|0|37.4|13.9|0|11.3|0|HSP90|37.4|Tolnaftate|False|Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
245389|2|245389:02:04_10.00|10|105|5.7|0|0|61.4|0|53.8|20.5|57.1|50.7|59.9|44.5|BET|61.4|Procyclidine (hydrochloride)|False|OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
245389|2|245389:02:04_30.00|30|96|40.6|0|0|72.1|0|77.2|32.8|81.6|51.6|67.5|48|LCH|81.6|Procyclidine (hydrochloride)|False|OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
245391|2|245391:02:12_03.00|3|82|49.6|19.9|0|57.9|0|61.9|26.8|47|71|55.7|79.7|Uncoupler|79.7|Niclosamide|False|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
245391|2|245391:02:04_10.00|10|75|40.4|12|0|64.6|0|67.5|24.9|43.7|59|52.9|80.5|Uncoupler|80.5|Niclosamide|False|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
245391|3|245391:03:03_10.00|10|92|17.8|24.4|0|45.3|0|51.7|33.6|26.9|47.6|36.5|72.6|Uncoupler|72.6|Niclosamide|False|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
245391|3|245391:03:03_30.00|30|74|65.6|1.5|0|76.7|0|72.4|27.6|57.9|70.1|73.2|86.6|Uncoupler|86.6|Niclosamide|False|O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
245488|5|245488:05:06_02.00|2|96|7.4|1.7|0|0|0|0|0|0|0|0|0|AKT_PI3K_MTOR|1.7|Emodin|False|Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O
245492|1|245492:01:05_03.00|3|89|6|0|0|60.3|0|77.4|23.2|52.8|58.5|77.8|30.5|Tubulin|77.8|Haloperidol|False|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
245492|2|245492:02:04_10.00|10|101|56.5|0|0|79.9|0|78.1|16.6|94.9|52.5|75.1|46.3|LCH|94.9|Haloperidol|False|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
245492|3|245492:03:03_10.00|10|93|68.4|0|0|82.7|0|80.2|7.3|95.3|55.5|72.1|47.3|LCH|95.3|Haloperidol|False|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
245492|3|245492:03:03_30.00|30|97|62|0|0|76|0|74.4|18.5|94.7|45.8|70.6|39.5|LCH|94.7|Haloperidol|False|O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
245512|2|245512:02:03_10.00|10|92|7.8|0|0|66.2|0|66|0|58.1|47.4|59|30.3|BET|66.2|Norcantharidin|False|O=C1OC(=O)C2C3CCC(O3)C12
245512|2|245512:02:03_30.00|30|115|40.6|0|0|78.2|0|71.5|0|62.5|65.2|78.7|33.7|Tubulin|78.7|Norcantharidin|False|O=C1OC(=O)C2C3CCC(O3)C12
245846|2|245846:02:11_50.00|50|100|5|68.9|0|0|47.6|0|30.8|0|0|0|2.9|AKT_PI3K_MTOR|68.9||False|CCCCCC(=O)c1c(O)c(-c2ccc(O)cc2)c[nH]c1=O
246294|1|246294:01:04_10.00|10|79|30.2|0|45|0|43.2|0|0|0|0|0|0|Aurora|45|Azaguanine-8|False|Nc1nc2[nH]nnc2c(=O)[nH]1
246295|1|246295:01:17_01.00|1|97|8.8|0|0|39.9|0|35.4|27.8|41.7|34.1|48.8|15.8|Tubulin|48.8|Alexidine dihydrochloride|False|CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC
246295|1|246295:01:17_03.00|3|86|33.2|0|0|31.6|3.1|21.8|0|7.9|56.8|38.1|43.6|Protein_Synth|56.8|Alexidine dihydrochloride|False|CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC
246297|1|246297:01:08_02.00|2|96|15.4|77.2|0|0|75.9|0|10.5|0|0|0|0|AKT_PI3K_MTOR|77.2|Erlotinib|False|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
246297|1|246297:01:04_10.00|10|91|33|86.2|0|0|84.1|0|16.3|0|0|0|0|AKT_PI3K_MTOR|86.2|Erlotinib|False|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
246297|1|246297:01:04_30.00|30|76|38|55.7|0|5.4|53.4|2.9|37.5|57.8|0|25.7|23.9|LCH|57.8|Erlotinib|False|C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
246301|1|246301:01:05_30.00|30|92|10.9|42.2|0|8.7|22|3|37.5|41.6|20.3|20.9|11|AKT_PI3K_MTOR|42.2|Calcipotriene|False|C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O
246304|1|246304:01:04_10.00|10|100|27.6|0|0|74.7|0|73.1|23.4|90.4|53.1|65.5|52.4|LCH|90.4|Cloperastine hydrochloride|False|Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1
246304|1|246304:01:04_30.00|30|93|77.7|0|0|74.9|0|71.7|17.3|89.4|52.8|69.3|57.5|LCH|89.4|Cloperastine hydrochloride|False|Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1
246307|1|246307:01:04_30.00|30|85|11.6|0|0|68.9|0|67|8.6|66.8|24.9|78.2|36.5|Tubulin|78.2|Hexestrol|False|CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
246314|1|246314:01:11_01.00|1|95|77.5|0|0|72.8|0|74.3|26.3|71.9|65.2|72.7|65.6|HDAC|74.3|Monensin A sodium salt, Rumensin, Coban 45|True|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1
246314|1|246314:01:11_03.00|3|79|81.9|0|0|82.3|0|82|24.4|80.2|70.8|77.6|67.4|BET|82.3|Monensin A sodium salt, Rumensin, Coban 45|True|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1
246314|1|246314:01:04_10.00|10|90|63.2|0|0|62.9|0|65.3|32.3|52.8|58.4|58.3|61.8|HDAC|65.3|Monensin A sodium salt, Rumensin, Coban 45|True|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1
246314|1|246314:01:04_30.00|30|90|69.6|0|0|67.5|0|67.2|27.7|63.8|58.6|69.5|64.8|Tubulin|69.5|Monensin A sodium salt, Rumensin, Coban 45|True|CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1
246315|1|246315:01:06_30.00|30|99|10.4|0.1|0|40.3|0|36.4|1.8|23.2|47|39.7|60.6|Uncoupler|60.6|Merbromin|False|O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21
246330|1|246330:01:04_10.00|10|92|20|0|0|42.6|0|42.4|33.5|65.1|13.7|51.1|23.7|LCH|65.1|Dihydroergotamine tartrate|True|CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21
246330|1|246330:01:04_30.00|30|100|68.9|0|0|66.8|0|66.2|23.5|90.4|40.4|64.7|41|LCH|90.4|Dihydroergotamine tartrate|True|CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21
246332|1|246332:01:09_03.00|3|101|9.5|0|0|54.7|0|56.8|29.8|79.6|26.1|51.1|26.8|LCH|79.6|Dilazep dihydrochloride|False|COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC
